Model,Operation,Time (s),Throughput (ops/sec),CPU (%),Memory (MB)
paraphrase-MiniLM-L12-v2,Query Throughput,8.153915405273438e-05,61320.23391812865,0,0
paraphrase-MiniLM-L12-v2,Insertion Throughput,0.0010259151458740234,243684.87102021844,0,0
paraphrase-MiniLM-L12-v2,Deletion Throughput,0.00012755393981933594,1959955.1401869159,0,0
paraphrase-MiniLM-L12-v2,Update Throughput,0.15590906143188477,1603.4988454421728,0,0
all-MiniLM-L6-v2,Query Throughput,0.00012731552124023438,39272.50936329588,0,0
all-MiniLM-L6-v2,Insertion Throughput,0.010888338088989258,22960.34509185662,0,0
all-MiniLM-L6-v2,Deletion Throughput,0.00678563117980957,36842.55648079829,0,0
all-MiniLM-L6-v2,Update Throughput,0.08236050605773926,3035.4354528217227,0,0
distilbert-base-nli-stsb-mean-tokens,Query Throughput,5.91278076171875e-05,84562.58064516129,0,0
distilbert-base-nli-stsb-mean-tokens,Insertion Throughput,0.0008034706115722656,311150.1483679525,0,0
distilbert-base-nli-stsb-mean-tokens,Deletion Throughput,0.00013446807861328125,1859177.304964539,0,0
distilbert-base-nli-stsb-mean-tokens,Update Throughput,0.24933695793151855,1002.6592209754302,0,0
microsoft/codebert-base,Query Throughput,5.8650970458984375e-05,85250.081300813,0,0
microsoft/codebert-base,Insertion Throughput,0.0012950897216796875,193036.81885125185,0,0
microsoft/codebert-base,Deletion Throughput,0.00012969970703125,1927529.4117647058,0,0
microsoft/codebert-base,Update Throughput,0.5039801597595215,496.0512733661771,0,0
bert-base-nli-mean-tokens,Query Throughput,3.910064697265625e-05,127875.12195121951,0,0
bert-base-nli-mean-tokens,Insertion Throughput,0.0006422996520996094,389226.4291017075,0,0
bert-base-nli-mean-tokens,Deletion Throughput,0.00012540817260742188,1993490.494296578,0,0
bert-base-nli-mean-tokens,Update Throughput,0.49958324432373047,500.4171033366358,0,0
sentence-transformers/average_word_embeddings_komninos,Query Throughput,5.984306335449219e-05,83551.87250996016,0,0
sentence-transformers/average_word_embeddings_komninos,Insertion Throughput,0.011600971221923828,21549.919848740188,0,0
sentence-transformers/average_word_embeddings_komninos,Deletion Throughput,0.006815195083618164,36682.735700542245,0,0
sentence-transformers/average_word_embeddings_komninos,Update Throughput,0.021811485290527344,11461.851252678063,0,0
all-mpnet-base-v2,Query Throughput,3.790855407714844e-05,131896.35220125786,0,0
all-mpnet-base-v2,Insertion Throughput,0.006975889205932617,35837.725144400014,0,0
all-mpnet-base-v2,Deletion Throughput,0.010869026184082031,23001.14065104852,0,0
all-mpnet-base-v2,Update Throughput,0.9058656692504883,275.9791086981468,0,0
